    Wavelength  Flux
    microns     Jy
   24.7494  327.0609
   24.8114  329.5555
   24.8735  332.5574
   24.9358  334.8983
   24.9982  335.6237
   25.0607  333.7893
   25.1235  330.3308
   25.1864  325.9165
   25.2494  322.1884
   25.3126  320.1058
   25.3760  320.1713
   25.4395  321.5108
   25.5032  323.0050
   25.5670  324.5791
   25.6310  325.9920
   25.6952  327.3598
   25.7595  329.3313
   25.8886  351.8561
   25.9534  352.0935
   26.0184  352.2819
   26.0835  352.7966
   26.1488  353.8538
   26.2142  355.2304
   26.2799  357.5224
   26.3456  360.3794
   26.4116  363.6436
   26.4777  367.0112
   26.5440  370.4970
   26.6104  373.7386
   26.6770  377.1504
   26.7438  380.7706
   26.8107  384.8575
   26.8779  389.0103
   26.9451  392.9152
   27.0126  396.2723
   27.0802  399.2210
   27.1480  402.9220
   27.2159  407.7803
   27.2841  414.0186
   27.3524  421.0583
   27.4208  427.8121
   27.4895  433.7137
   27.5583  438.2410
   27.6273  441.9260
   27.6964  445.5065
   27.7657  449.8833
   27.8352  455.5952
   27.9049  462.0284
   27.9748  468.0102
   28.0448  471.9272
   28.1150  473.0444
   28.1854  471.2254
   28.2559  467.4310
   28.3266  462.9753
   28.3975  459.9903
   28.4686  458.8791
   28.5399  460.6877
   28.6113  464.6101
   28.6829  470.0940
   28.7547  476.0013
   28.8267  482.7823
   28.8989  490.7044
   28.9712  498.1861
   29.0437  505.8842
   29.1164  513.7629
   29.1893  522.5844
   29.2624  532.1392
   29.3356  543.2443
   29.4091  555.0572
   29.4827  565.7189
   29.5565  575.3661
   29.6305  582.3486
   29.7046  586.5517
   29.7790  586.8813
   29.8535  582.8224
   29.9282  575.0379
   30.0032  566.3839
   30.0783  559.6569
   30.1536  558.1141
   30.2290  562.6554
   30.3047  571.5385
   30.3806  581.5172
   30.4566  588.6369
   30.5328  590.4337
   30.6093  585.2917
   30.6859  575.5496
   30.7627  564.7682
   30.8397  556.6755
   30.9169  553.6982
   30.9943  555.8805
   31.0719  559.1181
   31.1496  561.0427
   31.2276  560.0744
   31.3058  556.8520
   31.3841  554.0060
   31.4627  553.3967
   31.5415  555.5865
   31.6204  559.2927
   31.6996  563.9430
   31.7789  568.3465
   31.8585  573.2759
   31.9382  579.8611
   32.0181  589.1301
   32.0983  599.8564
   32.1786  611.3911
   32.2592  623.5381
   32.3399  637.1586
   32.4209  652.6390
   32.5020  670.1367
   32.5834  687.8278
   32.6650  703.1005
   32.7467  713.7280
   32.8287  719.7227
   32.9109  720.7009
   32.9932  718.8276
   33.0758  717.8657
   33.1586  721.8620
   33.2416  732.6243
   33.3248  750.0601
   33.4082  772.2126
   33.4919  794.4528
   33.5757  813.0455
   33.6598  825.8813
   33.7440  832.0698
   33.8285  831.2762
   33.9132  824.8429
   33.9980  813.5969
   34.0831  798.6172
   34.1685  780.7895
   34.2540  760.6639
   34.3397  739.5673
   34.4257  719.2202
   34.5119  701.7327
   34.5982  690.0378
   34.6848  684.5430
   34.7717  684.2211
   34.8587  686.3927
   34.9460  688.8329
   35.0334  689.5865
   35.1211  688.0219
   35.2090  684.6265
   35.2972  681.3650
   35.3855  678.7549
   35.4741  676.2576
   35.5629  673.0422
   35.6519  670.1189
   35.7412  668.2013
   35.8306  666.5099
   35.9203  664.4973
   36.0102  660.5704
   36.1004  655.8541
   36.1907  651.9491
   36.2813  651.0905
   36.3721  652.5194
   36.4632  654.0487
   36.5545  653.1320
   36.6460  647.7073
   36.7377  639.3651
   36.8296  629.8235
   36.9218  621.4424
   37.0142  616.9977
   37.1069  616.0859
   37.1998  615.5971
   37.2929  614.1512
   37.3862  612.2101
   37.4798  609.9511
   37.5736  608.9589
   37.6677  609.1459
   37.7620  610.6012
   37.8565  612.0719
   37.9513  613.7803
   38.0463  616.3111
   38.1415  619.5107
   38.2370  622.5741
   38.3327  625.1749
   38.4286  627.4895
   38.5248  628.9534
   38.6213  631.5256
   38.7179  635.1212
   38.8148  640.4844
   38.9120  646.5163
   39.0094  652.1611
   39.1071  657.4965
   39.2049  663.7037
   39.3031  671.7823
   39.4015  681.9495
   39.5001  693.1434
   39.5990  705.2515
   39.6981  716.9974
   39.7975  728.0349
   39.8971  739.3625
   39.9969  751.7196
   40.0971  764.7618
   40.1974  779.2355
   40.2980  792.3209
   40.3989  800.7925
   40.5000  801.7683
   40.6014  795.8156
   40.7030  784.0259
   40.8049  769.2137
   40.9071  754.6324
   41.0095  742.9764
   41.1121  735.0722
   41.2150  731.3944
   41.3182  731.6184
   41.4216  733.7078
   41.5253  735.1962
   41.6292  734.5190
   41.7335  732.1765
   41.8379  729.8461
   41.9426  730.0443
   42.0476  734.8804
   42.1529  744.9316
   42.2584  759.0787
   42.3642  775.7567
   42.4702  793.8608
   42.5765  811.3087
   42.6831  824.9666
   42.7899  834.0334
   42.8970  839.2604
   43.0044  841.7419
   43.1121  844.2231
   43.2200  848.6573
   43.3282  854.9212
   43.4366  860.3321
   43.5454  862.1883
   43.6544  857.7676
   43.7636  846.5549
   43.8732  832.5817
   43.9830  820.2695
   44.0931  813.8978
   44.2035  813.7534
   44.3141  818.0886
   44.4250  825.4689
   44.5362  830.2796
   44.6477  830.9811
   44.7595  826.5621
   44.8715  816.6243
   44.9838  808.3388
   45.0964  799.2894
   45.2093  789.3832
   45.3225  780.3816
   45.4359  770.1417
   45.5497  760.5684
   45.6637  754.8163
   45.7780  754.1857
   45.8926  755.4432
   46.0074  757.3191
   46.1226  758.7398
   46.2380  760.1889
   46.3538  761.4327
   46.4698  763.5499
   46.5861  766.1557
   46.7028  768.5929
   46.8197  773.6502
   46.9368  782.0776
   47.0543  794.0155
   47.1721  809.1806
   47.2902  826.3805
   47.4086  842.7708
   47.5272  855.3603
   47.6462  858.4521
   47.7655  855.3830
   47.8850  847.4642
   48.0049  839.5089
   48.1251  833.9176
   48.2455  831.5568
   48.3663  831.2032
   48.4874  831.1508
   48.6087  828.5604
   48.7304  821.3454
   48.8524  810.7228
   48.9747  801.9781
   49.0973  796.7527
   49.2201  797.2726
   49.3434  802.8393
   49.4669  809.8541
   49.5907  815.2468
   49.7148  819.3193
   49.8393  820.2172
   49.9640  821.6950
   50.0891  824.9313
   50.2145  830.1949
   50.3402  834.9305
   50.4662  838.9041
   50.5925  842.1830
